topic,theme,area,learning_objective 
Citizen Science with GIS&T,Governance and Agency,GIS&T and society,What might be some examples of culturally sensitive issues that may arise as part of a Citizen Science project that GIS&T tools would have to take into account?
Citizen Science with GIS&T,Governance and Agency,GIS&T and society,"What methods could you employ to improve trust not only in the data collected by GIS&T tools on Citizen Science projects, but also with people to encourage participation and contribution?"
Spatial Decision Support,Governance and Agency,GIS&T and society,Describe the scope and importance of spatial decision-making in society
Spatial Decision Support,Governance and Agency,GIS&T and society,Define “spatial decision support system”
Spatial Decision Support,Governance and Agency,GIS&T and society,"Differentiate decision problems by their complexity, scope, nature of decision-makers, and spatiality"
Spatial Decision Support,Governance and Agency,GIS&T and society,Characterize the role of GIS as a generator for SDSS
Spatial Decision Support,Governance and Agency,GIS&T and society,Explain the role of descriptive and normative models in spatial decision support
Spatial Decision Support,Governance and Agency,GIS&T and society,"Using the terminology introduced in this Topic, describe a decision situation in one of the typical fields of application of spatial decision support."
Spatial Decision Support,Governance and Agency,GIS&T and society,What is special about spatial decision support?
Spatial Decision Support,Governance and Agency,GIS&T and society,How would you outline the similarities and differences between GIS and SDSS?
Spatial Decision Support,Governance and Agency,GIS&T and society,How does MCDA fit in a GIS-based spatial analysis and modeling toolkit?
Spatial Decision Support,Governance and Agency,GIS&T and society,What are the recent trends in spatial decision support technology?
Feminist Critiques of GIS,Critical Perspectives,GIS&T and society,"Defend or refute the contention that the masculinist culture of computer work in general, and GIS work in particular, perpetuates gender inequality in GIS&T education and training and occupational segregation in the GIS&T workforce"
Feminist Critiques of GIS,Critical Perspectives,GIS&T and society,Discuss the potential role of agency (individual action) in resisting dominant practices and in using GIS&T in ways that are consistent with feminist epistemologies and politics
Feminist Critiques of GIS,Critical Perspectives,GIS&T and society,Explain the argument that GIS and remote sensing foster a “disembodied” way of knowing the world
Feminist Critiques of GIS,Critical Perspectives,GIS&T and society,"Why did feminist critiques initially accuse GIS of being positivist, and how has this critique been challenged?"
